PE_chromosome	PE_start	PE_end	PE_identifier	Cassette_Yan_2015_Class	gene_symbol	alt_gene_list	element_chromosome	element_start	element_end	element_identifier	MIM_number	MIM_phenotypes	SFARI_genetic_category	SFARI_gene_score	SFARI_syndromic	PE_HGVS	element_HGVS
chr2	231152717	231152811	PE_1_of_1_in_NM_002807.4_intron_17_0_chr2_231146357_f	NMD_in	PSMD1	PSMD1	chr2	231146356	231153563	NM_002807.4_intron_17_0_chr2_231146357_f	617842	NA	NA	NA	NA	NC_000002.12:g.231152718_231152811	NC_000002.12:g.231146357_231153563
chr2	232039838	232039953	PE_1_of_1_in_NM_152383.5_intron_4_0_chr2_232030081_f	NMD_in	DIS3L2	DIS3L2, PRLMNS	chr2	232030080	232087486	NM_152383.5_intron_4_0_chr2_232030081_f	614184	Perlman syndrome, 267000 (3), Autosomal recessive	NA	NA	NA	NC_000002.12:g.232039839_232039953	NC_000002.12:g.232030081_232087486
chr2	232551092	232551218	PE_1_of_1_in_NM_004846.4_intron_0_0_chr2_232550745_f	NMD_in	EIF4E2	EIF4E2, EIF4EL3, 4EHP	chr2	232550744	232556415	NM_004846.4_intron_0_0_chr2_232550745_f	605895	NA	NA	NA	NA	NC_000002.12:g.232551093_232551218	NC_000002.12:g.232550745_232556415
chr2	232735753	232735941	PE_1_of_1_in_NM_001103146.3_intron_2_0_chr2_232735239_f	NMD_in	GIGYF2	GIGYF2, KIAA0642, PARK11	chr2	232735238	232747614	NM_001103146.3_intron_2_0_chr2_232735239_f	612003	{Parkinson disease 11}, 607688 (3)	Rare Single Gene Mutation	1	0	NC_000002.12:g.232735754_232735941	NC_000002.12:g.232735239_232747614
chr2	232755577	232755598	PE_1_of_1_in_NM_001103146.3_intron_4_0_chr2_232749083_f	NMD_in	GIGYF2	GIGYF2, KIAA0642, PARK11	chr2	232749082	232756222	NM_001103146.3_intron_4_0_chr2_232749083_f	612003	{Parkinson disease 11}, 607688 (3)	Rare Single Gene Mutation	1	0	NC_000002.12:g.232755578_232755598	NC_000002.12:g.232749083_232756222
chr2	233491032	233491071	PE_1_of_1_in_NM_001365479.2_intron_5_0_chr2_233489484_r	NMD_in	USP40	USP40	chr2	233489483	233491166	NM_001365479.2_intron_5_0_chr2_233489484_r	610570	NA	NA	NA	NA	NC_000002.12:g.233491033_233491071	NC_000002.12:g.233489484_233491166
chr2	238433778	238433953	PE_1_of_1_in_NM_001040445.3_intron_1_0_chr2_238433696_f	NMD_in	ASB1	ASB1	chr2	238433695	238435710	NM_001040445.3_intron_1_0_chr2_238433696_f	605758	NA	NA	NA	NA	NC_000002.12:g.238433779_238433953	NC_000002.12:g.238433696_238435710
chr2	241667975	241668045	PE_1_of_1_in_NM_013325.5_intron_7_0_chr2_241666839_f	NMD_in	ATG4B	ATG4B, APG4B, KIAA0943	chr2	241666838	241668142	NM_013325.5_intron_7_0_chr2_241666839_f	611338	NA	NA	NA	NA	NC_000002.12:g.241667976_241668045	NC_000002.12:g.241666839_241668142
chr20	2467192	2467315	PE_1_of_1_in_NM_003091.4_intron_4_0_chr20_2465820_r	NMD_in	SNRPB	SNRPB, CCMS	chr20	2465819	2467606	NM_003091.4_intron_4_0_chr20_2465820_r	182282	Cerebrocostomandibular syndrome, 117650 (3), Autosomal dominant	NA	NA	NA	NC_000020.11:g.2467193_2467315	NC_000020.11:g.2465820_2467606
chr20	2657373	2657488	PE_1_of_1_in_NM_006392.4_intron_10_0_chr20_2657219_f	NMD_in	NOP56	NOP56, SCA36	chr20	2657218	2657928	NM_006392.4_intron_10_0_chr20_2657219_f	614154	Spinocerebellar ataxia 36, 614153 (3), Autosomal dominant	NA	NA	NA	NC_000020.11:g.2657374_2657488	NC_000020.11:g.2657219_2657928
chr20	2738614	2738740	PE_1_of_1_in_NM_001395167.1_intron_5_0_chr20_2709643_f	NMD_in	EBF4	EBF4, KIAA1442	chr20	2709642	2748548	NM_001395167.1_intron_5_0_chr20_2709643_f	609935	NA	NA	NA	NA	NC_000020.11:g.2738615_2738740	NC_000020.11:g.2709643_2748548
chr20	2999331	2999425	PE_1_of_1_in_NM_001385305.1_intron_8_0_chr20_2988475_f	NMD_in	PTPRA	PTPRA, PTPA, PTPRL2, LRP	chr20	2988474	3005055	NM_001385305.1_intron_8_0_chr20_2988475_f	176884	NA	NA	NA	NA	NC_000020.11:g.2999332_2999425	NC_000020.11:g.2988475_3005055
chr20	3193195	3193782	PE_1_of_1_in_NM_023935.3_intron_2_0_chr20_3191822_r	NMD_in	DDRGK1	DDRGK1, UFBP1, C20orf116, SEMDSH	chr20	3191821	3194829	NM_023935.3_intron_2_0_chr20_3191822_r	616177	Spondyloepimetaphyseal dysplasia, Shohat type, 602557 (3), Autosomal recessive	NA	NA	NA	NC_000020.11:g.3193196_3193782	NC_000020.11:g.3191822_3194829
chr20	3325584	3325759	PE_1_of_1_in_NM_001009984.3_intron_23_0_chr20_3324969_r	NMD_in	DNAAF9	DNAAF9, C20orf194	chr20	3324968	3326196	NM_001009984.3_intron_23_0_chr20_3324969_r	614146	NA	NA	NA	NA	NC_000020.11:g.3325585_3325759	NC_000020.11:g.3324969_3326196
chr20	5152376	5152872	PE_1_of_1_in_NM_003818.4_intron_0_0_chr20_5127150_f	NMD_in	CDS2	CDS2	chr20	5127149	5173522	NM_003818.4_intron_0_0_chr20_5127150_f	603549	NA	NA	NA	NA	NC_000020.11:g.5152377_5152872	NC_000020.11:g.5127150_5173522
chr20	5552359	5552490	PE_1_of_1_in_NM_019593.5_intron_0_0_chr20_5547851_r	NMD_in	GPCPD1	GPCPD1, GDE5, KIAA1434	chr20	5547850	5557944	NM_019593.5_intron_0_0_chr20_5547851_r	614124	NA	NA	NA	NA	NC_000020.11:g.5552360_5552490	NC_000020.11:g.5547851_5557944
chr20	5591838	5591886	PE_1_of_1_in_NM_019593.5_intron_15_0_chr20_5586270_r	NMD_in	GPCPD1	GPCPD1, GDE5, KIAA1434	chr20	5586269	5593326	NM_019593.5_intron_15_0_chr20_5586270_r	614124	NA	NA	NA	NA	NC_000020.11:g.5591839_5591886	NC_000020.11:g.5586270_5593326
chr20	9602401	9602551	PE_1_of_1_in_NM_177990.4_intron_6_0_chr20_9580931_r	NMD_in	PAK5	PAK5, PAK7, KIAA1264	chr20	9580930	9644124	NM_177990.4_intron_6_0_chr20_9580931_r	608038	NA	NA	NA	NA	NC_000020.11:g.9602402_9602551	NC_000020.11:g.9580931_9644124
chr20	10289379	10289567	PE_1_of_2_in_NM_130811.4_intron_3_0_chr20_10284773_f	NMD_in	SNAP25	SNAP25, CMS18	chr20	10284772	10293160	NM_130811.4_intron_3_0_chr20_10284773_f	600322	?Myasthenic syndrome, congenital, 18, 616330 (3), Autosomal dominant	Rare Single Gene Mutation, Genetic Association	2	0	NC_000020.11:g.10289380_10289567	NC_000020.11:g.10284773_10293160
chr20	10292882	10292999	PE_2_of_2_in_NM_130811.4_intron_3_0_chr20_10284773_f	NMD_in	SNAP25	SNAP25, CMS18	chr20	10284772	10293160	NM_130811.4_intron_3_0_chr20_10284773_f	600322	?Myasthenic syndrome, congenital, 18, 616330 (3), Autosomal dominant	Rare Single Gene Mutation, Genetic Association	2	0	NC_000020.11:g.10292883_10292999	NC_000020.11:g.10284773_10293160
chr20	10296258	10296456	PE_1_of_1_in_NM_130811.4_intron_4_0_chr20_10293279_f	NMD_in	SNAP25	SNAP25, CMS18	chr20	10293278	10296924	NM_130811.4_intron_4_0_chr20_10293279_f	600322	?Myasthenic syndrome, congenital, 18, 616330 (3), Autosomal dominant	Rare Single Gene Mutation, Genetic Association	2	0	NC_000020.11:g.10296259_10296456	NC_000020.11:g.10293279_10296924
chr20	13814418	13814515	PE_1_of_1_in_NM_024120.5_intron_7_0_chr20_13808903_f	NMD_in	NDUFAF5	NDUFAF5, C20orf7, MC1DN16	chr20	13808902	13816462	NM_024120.5_intron_7_0_chr20_13808903_f	612360	Mitochondrial complex I deficiency, nuclear type 16, 618238 (3), Autosomal recessive	NA	NA	NA	NC_000020.11:g.13814419_13814515	NC_000020.11:g.13808903_13816462
chr20	17604725	17604933	PE_1_of_1_in_NM_006870.4_intron_2_0_chr20_17604632_f	NMD_in	DSTN	DSTN, ADF	chr20	17604631	17607036	NM_006870.4_intron_2_0_chr20_17604632_f	609114	NA	NA	NA	NA	NC_000020.11:g.17604726_17604933	NC_000020.11:g.17604632_17607036
chr20	18183535	18183581	PE_1_of_1_in_NM_001392073.1_intron_8_0_chr20_18183299_f	NMD_in	KAT14	KAT14, CRP2BP, CSRP2BP, ATAC2	chr20	18183298	18184601	NM_001392073.1_intron_8_0_chr20_18183299_f	617501	NA	NA	NA	NA	NC_000020.11:g.18183536_18183581	NC_000020.11:g.18183299_18184601
chr20	19935439	19935607	PE_1_of_1_in_NM_018993.4_intron_3_0_chr20_19935200_f	NMD_in	RIN2	RIN2, MACS	chr20	19935199	19956614	NM_018993.4_intron_3_0_chr20_19935200_f	610222	Macrocephaly, alopecia, cutis laxa, and scoliosis, 613075 (3), Autosomal recessive	NA	NA	NA	NC_000020.11:g.19935440_19935607	NC_000020.11:g.19935200_19956614
chr20	20525991	20526081	PE_1_of_1_in_NM_020343.4_intron_11_0_chr20_20524899_r	NMD_in	RALGAPA2	RALGAPA2, AS250, C20orf74	chr20	20524898	20526251	NM_020343.4_intron_11_0_chr20_20524899_r	618836	NA	NA	NA	NA	NC_000020.11:g.20525992_20526081	NC_000020.11:g.20524899_20526251
chr20	20680511	20680585	PE_1_of_1_in_NM_020343.4_intron_37_0_chr20_20676289_r	NMD_in	RALGAPA2	RALGAPA2, AS250, C20orf74	chr20	20676288	20680690	NM_020343.4_intron_37_0_chr20_20676289_r	618836	NA	NA	NA	NA	NC_000020.11:g.20680512_20680585	NC_000020.11:g.20676289_20680690
chr20	21172867	21173003	PE_1_of_1_in_NM_018474.6_intron_5_0_chr20_21163160_f	NMD_in	KIZ	KIZ, KIZUNA, C20orf19, RP69	chr20	21163159	21205490	NM_018474.6_intron_5_0_chr20_21163160_f	615757	Retinitis pigmentosa 69, 615780 (3), Autosomal recessive	Genetic Association, Functional	3	0	NC_000020.11:g.21172868_21173003	NC_000020.11:g.21163160_21205490
chr20	21349083	21349099	PE_1_of_1_in_NM_012255.5_intron_18_0_chr20_21348431_f	NMD_in	XRN2	XRN2	chr20	21348430	21349388	NM_012255.5_intron_18_0_chr20_21348431_f	608851	NA	NA	NA	NA	NC_000020.11:g.21349084_21349099	NC_000020.11:g.21348431_21349388
chr20	21365200	21365273	PE_1_of_1_in_NM_012255.5_intron_23_0_chr20_21357793_f	NMD_in	XRN2	XRN2	chr20	21357792	21365420	NM_012255.5_intron_23_0_chr20_21357793_f	608851	NA	NA	NA	NA	NC_000020.11:g.21365201_21365273	NC_000020.11:g.21357793_21365420
chr20	21383491	21383527	PE_1_of_1_in_NM_012255.5_intron_27_0_chr20_21382058_f	NMD_in	XRN2	XRN2	chr20	21382057	21386867	NM_012255.5_intron_27_0_chr20_21382058_f	608851	NA	NA	NA	NA	NC_000020.11:g.21383492_21383527	NC_000020.11:g.21382058_21386867
chr20	24977563	24977826	PE_1_of_1_in_NM_020531.3_intron_5_0_chr20_24973738_r	NMD_in	APMAP	APMAP, C20orf3, BSCV	chr20	24973737	24978766	NM_020531.3_intron_5_0_chr20_24973738_r	615884	NA	NA	NA	NA	NC_000020.11:g.24977564_24977826	NC_000020.11:g.24973738_24978766
chr20	25248803	25248861	PE_1_of_1_in_NM_002862.4_intron_0_0_chr20_25248422_f	NMD_in	PYGB	PYGB	chr20	25248421	25259236	NM_002862.4_intron_0_0_chr20_25248422_f	138550	NA	NA	NA	NA	NC_000020.11:g.25248804_25248861	NC_000020.11:g.25248422_25259236
chr20	31539309	31539404	PE_1_of_1_in_NM_178581.3_intron_2_0_chr20_31538262_f	NMD_in	HM13	HM13, SPP	chr20	31538261	31544946	NM_178581.3_intron_2_0_chr20_31538262_f	607106	NA	NA	NA	NA	NC_000020.11:g.31539310_31539404	NC_000020.11:g.31538262_31544946
chr20	31946171	31946288	PE_1_of_1_in_NM_030815.3_intron_0_0_chr20_31945890_r	NMD_in	PDRG1	PDRG1, PDRG, C20orf126	chr20	31945889	31946495	NM_030815.3_intron_0_0_chr20_31945890_r	610789	NA	NA	NA	NA	NC_000020.11:g.31946172_31946288	NC_000020.11:g.31945890_31946495
chr20	32522938	32523252	PE_1_of_2_in_NM_001256798.2_intron_8_0_chr20_32520923_r	NMD_in	NOL4L	NOL4L, C20orf112	chr20	32520922	32527757	NM_001256798.2_intron_8_0_chr20_32520923_r	618893	NA	NA	NA	NA	NC_000020.11:g.32522939_32523252	NC_000020.11:g.32520923_32527757
chr20	32523947	32524092	PE_2_of_2_in_NM_001256798.2_intron_8_0_chr20_32520923_r	NMD_in	NOL4L	NOL4L, C20orf112	chr20	32520922	32527757	NM_001256798.2_intron_8_0_chr20_32520923_r	618893	NA	NA	NA	NA	NC_000020.11:g.32523948_32524092	NC_000020.11:g.32520923_32527757
chr20	33671004	33671093	PE_1_of_1_in_NM_031232.4_intron_9_0_chr20_33670793_r	NMD_in	NECAB3	NECAB3, EFCBP3, NIP1, APBA2BP, XB51, STIP3	chr20	33670792	33672397	NM_031232.4_intron_9_0_chr20_33670793_r	612478	NA	NA	NA	NA	NC_000020.11:g.33671005_33671093	NC_000020.11:g.33670793_33672397
chr20	33673520	33673656	PE_1_of_1_in_NM_031232.4_intron_10_0_chr20_33672423_r	NMD_in	NECAB3	NECAB3, EFCBP3, NIP1, APBA2BP, XB51, STIP3	chr20	33672422	33674223	NM_031232.4_intron_10_0_chr20_33672423_r	612478	NA	NA	NA	NA	NC_000020.11:g.33673521_33673656	NC_000020.11:g.33672423_33674223
chr20	34644691	34644866	PE_1_of_1_in_NM_080476.5_intron_8_0_chr20_34644227_r	NMD_in	PIGU	PIGU, CDC91L1, GPIBD21, NEDBSS	chr20	34644226	34645274	NM_080476.5_intron_8_0_chr20_34644227_r	608528	Neurodevelopmental disorder with brain anomalies, seizures, and scoliosis, 618590 (3), Autosomal recessive	NA	NA	NA	NC_000020.11:g.34644692_34644866	NC_000020.11:g.34644227_34645274
chr20	34756575	34756620	PE_1_of_1_in_NM_014071.5_intron_7_0_chr20_34754869_r	NMD_in	NCOA6	NCOA6, ASC2, RAP250, NRC, PRIP	chr20	34754868	34757219	NM_014071.5_intron_7_0_chr20_34754869_r	605299	NA	NA	NA	NA	NC_000020.11:g.34756576_34756620	NC_000020.11:g.34754869_34757219
chr20	34856623	34856708	PE_1_of_1_in_NM_178026.3_intron_6_0_chr20_34854924_r	NMD_in	GGT7	GGT7, GGTL3, GGTL5, GGT4	chr20	34854923	34856805	NM_178026.3_intron_6_0_chr20_34854924_r	612342	NA	NA	NA	NA	NC_000020.11:g.34856624_34856708	NC_000020.11:g.34854924_34856805
chr20	35012598	35012785	PE_1_of_1_in_NM_015638.3_intron_7_0_chr20_35010289_r	NMD_in	TRPC4AP	TRPC4AP, TRUSS	chr20	35010288	35013007	NM_015638.3_intron_7_0_chr20_35010289_r	608430	NA	NA	NA	NA	NC_000020.11:g.35012599_35012785	NC_000020.11:g.35010289_35013007
chr20	35246638	35246744	PE_1_of_1_in_NM_006690.4_intron_0_0_chr20_35226985_f	NMD_in	MMP24	MMP25	chr20	35226984	35246839	NM_006690.4_intron_0_0_chr20_35226985_f	604871	NA	NA	NA	NA	NC_000020.11:g.35246639_35246744	NC_000020.11:g.35226985_35246839
chr20	35469495	35469665	PE_1_of_1_in_NM_007186.6_intron_8_0_chr20_35467556_f	NMD_in	CEP250	CEP250, CEP2, CNAP1, CRDHL2	chr20	35467555	35469889	NM_007186.6_intron_8_0_chr20_35467556_f	609689	Cone-rod dystrophy and hearing loss 2, 618358 (3), Autosomal recessive	NA	NA	NA	NC_000020.11:g.35469496_35469665	NC_000020.11:g.35467556_35469889
chr20	35707940	35707992	PE_1_of_1_in_NM_184234.3_intron_3_0_chr20_35707202_r	NMD_in	RBM39	RBM39, CAPER, RNPC2	chr20	35707201	35709223	NM_184234.3_intron_3_0_chr20_35707202_r	604739	NA	NA	NA	NA	NC_000020.11:g.35707941_35707992	NC_000020.11:g.35707202_35709223
chr20	35734186	35734257	PE_1_of_2_in_NM_184234.3_intron_13_0_chr20_35732136_r	NMD_in	RBM39	RBM39, CAPER, RNPC2	chr20	35732135	35738967	NM_184234.3_intron_13_0_chr20_35732136_r	604739	NA	NA	NA	NA	NC_000020.11:g.35734187_35734257	NC_000020.11:g.35732136_35738967
chr20	35736513	35736567	PE_2_of_2_in_NM_184234.3_intron_13_0_chr20_35732136_r	NMD_in	RBM39	RBM39, CAPER, RNPC2	chr20	35732135	35738967	NM_184234.3_intron_13_0_chr20_35732136_r	604739	NA	NA	NA	NA	NC_000020.11:g.35736514_35736567	NC_000020.11:g.35732136_35738967
chr20	35739393	35739547	PE_1_of_2_in_NM_184234.3_intron_14_0_chr20_35739018_r	NMD_in	RBM39	RBM39, CAPER, RNPC2	chr20	35739017	35740823	NM_184234.3_intron_14_0_chr20_35739018_r	604739	NA	NA	NA	NA	NC_000020.11:g.35739394_35739547	NC_000020.11:g.35739018_35740823
chr20	35740525	35740597	PE_2_of_2_in_NM_184234.3_intron_14_0_chr20_35739018_r	NMD_in	RBM39	RBM39, CAPER, RNPC2	chr20	35739017	35740823	NM_184234.3_intron_14_0_chr20_35739018_r	604739	NA	NA	NA	NA	NC_000020.11:g.35740526_35740597	NC_000020.11:g.35739018_35740823
chr20	35976248	35976368	PE_1_of_1_in_NM_001365709.1_intron_2_0_chr20_35976003_f	NMD_in	CNBD2	NA	chr20	35976002	35980458	NM_001365709.1_intron_2_0_chr20_35976003_f	NA	NA	NA	NA	NA	NC_000020.11:g.35976249_35976368	NC_000020.11:g.35976003_35980458
chr20	36606397	36606487	PE_1_of_1_in_NM_018840.5_intron_0_0_chr20_36606066_f	NMD_in	RAB5IF	NA	chr20	36606065	36607714	NM_018840.5_intron_0_0_chr20_36606066_f	NA	NA	NA	NA	NA	NC_000020.11:g.36606398_36606487	NC_000020.11:g.36606066_36607714
chr20	36661817	36661944	PE_1_of_1_in_NM_032013.4_intron_3_0_chr20_36660385_r	NMD_in	NDRG3	NDRG3	chr20	36660384	36665045	NM_032013.4_intron_3_0_chr20_36660385_r	605273	NA	NA	NA	NA	NC_000020.11:g.36661818_36661944	NC_000020.11:g.36660385_36665045
chr20	37715634	37715717	PE_1_of_1_in_NM_030877.5_intron_0_0_chr20_37694153_f	NMD_in	CTNNBL1	CTNNBL1, NAP	chr20	37694152	37732878	NM_030877.5_intron_0_0_chr20_37694153_f	611537	NA	NA	NA	NA	NC_000020.11:g.37715635_37715717	NC_000020.11:g.37694153_37732878
chr20	38041254	38041389	PE_1_of_1_in_NM_021215.4_intron_1_0_chr20_38040565_f	NMD_in	RPRD1B	RPRD1B, CREPT	chr20	38040564	38048347	NM_021215.4_intron_1_0_chr20_38040565_f	614694	NA	NA	NA	NA	NC_000020.11:g.38041255_38041389	NC_000020.11:g.38040565_38048347
chr20	38568230	38568467	PE_1_of_1_in_NM_020336.4_intron_25_0_chr20_38567233_f	NMD_in	RALGAPB	RALGAPB	chr20	38567232	38569887	NM_020336.4_intron_25_0_chr20_38567233_f	618833	NA	Rare Single Gene Mutation	1	0	NC_000020.11:g.38568231_38568467	NC_000020.11:g.38567233_38569887
chr20	38758800	38759018	PE_1_of_1_in_NM_024855.4_intron_4_0_chr20_38756040_f	NMD_in	ACTR5	ACTR5, ARP5	chr20	38756039	38765401	NM_024855.4_intron_4_0_chr20_38756040_f	619730	NA	NA	NA	NA	NC_000020.11:g.38758801_38759018	NC_000020.11:g.38756040_38765401
chr20	38998536	38998633	PE_1_of_1_in_NM_021931.4_intron_7_0_chr20_38994881_f	NMD_in	DHX35	NA	chr20	38994880	39001729	NM_021931.4_intron_7_0_chr20_38994881_f	NA	NA	NA	NA	NA	NC_000020.11:g.38998537_38998633	NC_000020.11:g.38994881_39001729
chr20	41096826	41097013	PE_1_of_1_in_NM_003286.4_intron_8_0_chr20_41092588_f	NMD_in	TOP1	TOP1	chr20	41092587	41097219	NM_003286.4_intron_8_0_chr20_41092588_f	126420	DNA topoisomerase I, camptothecin-resistant (3)	NA	NA	NA	NC_000020.11:g.41096827_41097013	NC_000020.11:g.41092588_41097219
chr20	41138273	41138368	PE_1_of_1_in_NM_002660.3_intron_0_0_chr20_41137859_f	NMD_in	PLCG1	PLCG1, PLC1	chr20	41137858	41159605	NM_002660.3_intron_0_0_chr20_41137859_f	172420	NA	NA	NA	NA	NC_000020.11:g.41138274_41138368	NC_000020.11:g.41137859_41159605
chr20	41420067	41420106	PE_1_of_1_in_NM_032221.5_intron_5_0_chr20_41417350_r	NMD_in	CHD6	CHD6, CHD5, RIGB	chr20	41417349	41420507	NM_032221.5_intron_5_0_chr20_41417350_r	616114	NA	NA	NA	NA	NC_000020.11:g.41420068_41420106	NC_000020.11:g.41417350_41420507
chr20	41486236	41486339	PE_1_of_1_in_NM_032221.5_intron_22_0_chr20_41484608_r	NMD_in	CHD6	CHD6, CHD5, RIGB	chr20	41484607	41487664	NM_032221.5_intron_22_0_chr20_41484608_r	616114	NA	NA	NA	NA	NC_000020.11:g.41486237_41486339	NC_000020.11:g.41484608_41487664
chr20	43459153	43459420	PE_1_of_1_in_NM_006275.6_intron_1_0_chr20_43458510_f	NMD_in	SRSF6	SRSF6, SFRS6, SRp55	chr20	43458509	43459770	NM_006275.6_intron_1_0_chr20_43458510_f	601944	NA	NA	NA	NA	NC_000020.11:g.43459154_43459420	NC_000020.11:g.43458510_43459770
chr20	44902898	44903121	PE_1_of_1_in_NM_139323.4_intron_1_0_chr20_44901834_f	NMD_in	YWHAB	YWHAB	chr20	44901833	44903992	NM_139323.4_intron_1_0_chr20_44901834_f	601289	NA	NA	NA	NA	NC_000020.11:g.44902899_44903121	NC_000020.11:g.44901834_44903992
chr20	46078974	46079107	PE_1_of_1_in_NM_020967.3_intron_5_0_chr20_46070537_r	NMD_in	NCOA5	NCOA5, CIA	chr20	46070536	46079386	NM_020967.3_intron_5_0_chr20_46070537_r	616825	NA	NA	NA	NA	NC_000020.11:g.46078975_46079107	NC_000020.11:g.46070537_46079386
chr20	46378490	46378569	PE_1_of_1_in_NM_133171.5_intron_10_0_chr20_46375791_r	NMD_in	ELMO2	ELMO2, CED12, VMPI	chr20	46375790	46380252	NM_133171.5_intron_10_0_chr20_46375791_r	606421	Vascular malformation, primary intraosseous, 606893 (3), Autosomal recessive	NA	NA	NA	NC_000020.11:g.46378491_46378569	NC_000020.11:g.46375791_46380252
chr20	46990565	46990712	PE_1_of_1_in_NM_005244.5_intron_1_0_chr20_46990120_f	NMD_in	EYA2	EYA2	chr20	46990119	47001427	NM_005244.5_intron_1_0_chr20_46990120_f	601654	NA	NA	NA	NA	NC_000020.11:g.46990566_46990712	NC_000020.11:g.46990120_47001427
chr20	47355450	47355520	PE_1_of_2_in_NM_001281775.3_intron_21_0_chr20_47347927_r	NMD_in	ZMYND8	ZMYND8, PRKCBP1	chr20	47347926	47356656	NM_001281775.3_intron_21_0_chr20_47347927_r	615713	NA	Rare Single Gene Mutation	1	0	NC_000020.11:g.47355451_47355520	NC_000020.11:g.47347927_47356656
chr20	47356217	47356288	PE_2_of_2_in_NM_001281775.3_intron_21_0_chr20_47347927_r	NMD_in	ZMYND8	ZMYND8, PRKCBP1	chr20	47347926	47356656	NM_001281775.3_intron_21_0_chr20_47347927_r	615713	NA	Rare Single Gene Mutation	1	0	NC_000020.11:g.47356218_47356288	NC_000020.11:g.47347927_47356656
chr20	48667055	48667121	PE_1_of_1_in_NM_020820.4_intron_25_0_chr20_48666356_r	NMD_in	PREX1	PREX1, KIAA1415	chr20	48666355	48676192	NM_020820.4_intron_25_0_chr20_48666356_r	606905	NA	Rare Single Gene Mutation, Genetic Association	2	0	NC_000020.11:g.48667056_48667121	NC_000020.11:g.48666356_48676192
chr20	50533676	50533825	PE_1_of_1_in_NM_002827.4_intron_0_0_chr20_50510591_f	NMD_in	PTPN1	PTPN1, PTP1B	chr20	50510590	50561362	NM_002827.4_intron_0_0_chr20_50510591_f	176885	{Insulin resistance, susceptibility to}, 125853 (3), Autosomal dominant	NA	NA	NA	NC_000020.11:g.50533677_50533825	NC_000020.11:g.50510591_50561362
chr20	54598616	54598742	PE_1_of_1_in_NM_018431.5_intron_4_0_chr20_54591806_f	NMD_in	DOK5	DOK5	chr20	54591805	54610387	NM_018431.5_intron_4_0_chr20_54591806_f	608334	NA	NA	NA	NA	NC_000020.11:g.54598617_54598742	NC_000020.11:g.54591806_54610387
chr20	62659432	62659540	PE_1_of_1_in_NM_016354.4_intron_2_0_chr20_62658768_f	NMD_in	SLCO4A1	SLCO4A1, OATPE, OATP4A1	chr20	62658767	62660411	NM_016354.4_intron_2_0_chr20_62658768_f	612436	NA	NA	NA	NA	NC_000020.11:g.62659433_62659540	NC_000020.11:g.62658768_62660411
chr20	63407873	63408029	PE_1_of_1_in_NM_172107.4_intron_0_0_chr20_63407376_r	NMD_in	KCNQ2	KCNQ2, EBN1, DEE7, BFNS1	chr20	63407375	63408412	NM_172107.4_intron_0_0_chr20_63407376_r	602235	Developmental and epileptic encephalopathy 7, 613720 (3), Autosomal dominant; Seizures, benign neonatal, 1, 121200 (3), Autosomal dominant; Myokymia, 121200 (3), Autosomal dominant	Rare Single Gene Mutation, Syndromic, Genetic Association, Functional	2	0	NC_000020.11:g.63407874_63408029	NC_000020.11:g.63407376_63408412
chr20	63422619	63422709	PE_1_of_1_in_NM_172107.4_intron_5_0_chr20_63419673_r	NMD_in	KCNQ2	KCNQ2, EBN1, DEE7, BFNS1	chr20	63419672	63424176	NM_172107.4_intron_5_0_chr20_63419673_r	602235	Developmental and epileptic encephalopathy 7, 613720 (3), Autosomal dominant; Seizures, benign neonatal, 1, 121200 (3), Autosomal dominant; Myokymia, 121200 (3), Autosomal dominant	Rare Single Gene Mutation, Syndromic, Genetic Association, Functional	2	0	NC_000020.11:g.63422620_63422709	NC_000020.11:g.63419673_63424176
chr20	63648951	63649091	PE_1_of_1_in_NM_015894.4_intron_3_0_chr20_63644310_r	NMD_in	STMN3	STMN3, SCLIP	chr20	63644309	63653326	NM_015894.4_intron_3_0_chr20_63644310_r	608362	NA	NA	NA	NA	NC_000020.11:g.63648952_63649091	NC_000020.11:g.63644310_63653326
chr20	63768073	63768118	PE_1_of_1_in_NM_001369741.1_intron_1_0_chr20_63752862_r	NMD_in	ZBTB46	ZBTB46, BZEL	chr20	63752861	63775677	NM_001369741.1_intron_1_0_chr20_63752862_r	614639	NA	NA	NA	NA	NC_000020.11:g.63768074_63768118	NC_000020.11:g.63752862_63775677
chr20	63929116	63929199	PE_1_of_1_in_NM_025219.3_intron_1_0_chr20_63928453_f	NMD_in	DNAJC5	DNAJC5, DNAJC5A, CSP, CLN4	chr20	63928452	63929311	NM_025219.3_intron_1_0_chr20_63928453_f	611203	Ceroid lipofuscinosis, neuronal, 4 (Kufs type), autosomal dominant, 162350 (3), Autosomal dominant	NA	NA	NA	NC_000020.11:g.63929117_63929199	NC_000020.11:g.63928453_63929311
chr20	63931109	63931182	PE_1_of_1_in_NM_025219.3_intron_3_0_chr20_63931023_f	NMD_in	DNAJC5	DNAJC5, DNAJC5A, CSP, CLN4	chr20	63931022	63931464	NM_025219.3_intron_3_0_chr20_63931023_f	611203	Ceroid lipofuscinosis, neuronal, 4 (Kufs type), autosomal dominant, 162350 (3), Autosomal dominant	NA	NA	NA	NC_000020.11:g.63931110_63931182	NC_000020.11:g.63931023_63931464
